Species ID	Species Name	Gene ID	Gene Symbol	Additional Implicated Gene ID	Additional Implicated Gene Symbol	Gene Association	Genetic Entity ID	Genetic Entity Name	Genetic Entity Type	Genetic Entity Association	Disease Qualifier	Disease ID	Disease Name	Evidence Code	Evidence Code Abbreviation	Evidence Code Name	Experimental Conditions	Genetic Modifier Relation	Genetic Modifier IDs	Genetic Modifier Names	Strain Background ID	Strain Background Name	Genetic Sex	Notes	Annotation Type	Based On ID	Based On Symbol	Source	Source URL	Reference	Date
NCBITaxon:9606	Homo sapiens	HGNC:19	AANAT			is_implicated_in	HGNC:19	AANAT	gene	is_implicated_in		DOID:0050628	advanced sleep phase syndrome	ECO:0007191	IAGP	inference by association of genotype from phenotype used in manual assertion								Note: DNA:missense mutation:cds:p.A129T(human)				RGD	https://rgd.mcw.edu/rgdweb/ontology/annot.html?species=Human&x=1&acc_id=DOID:0050628#annot	PMID:12736803	1999-01-01T06:00Z
NCBITaxon:9606	Homo sapiens	HGNC:2707	ACE			is_implicated_in	HGNC:2707	ACE	gene	is_implicated_in	susceptibility to	DOID:0050848	obstructive sleep apnea	ECO:0007191	IAGP	inference by association of genotype from phenotype used in manual assertion								Note: DNA:polymorphism (human)				RGD	https://rgd.mcw.edu/rgdweb/ontology/annot.html?species=Human&x=1&acc_id=DOID:0050848#annot	PMID:20182789	2010-09-01T05:00Z
NCBITaxon:9606	Homo sapiens	HGNC:2707	ACE			is_implicated_in	HGNC:2707	ACE	gene	is_implicated_in	severity of	DOID:0050848	obstructive sleep apnea	ECO:0007191	IAGP	inference by association of genotype from phenotype used in manual assertion								Note: associated with Hypertension;DNA:polymorphism (human)				RGD	https://rgd.mcw.edu/rgdweb/ontology/annot.html?species=Human&x=1&acc_id=DOID:0050848#annot	PMID:19482546	2010-09-02T05:00Z
NCBITaxon:9606	Homo sapiens	HGNC:13633	ADIPOQ			is_marker_for	HGNC:13633	ADIPOQ	gene	is_marker_for		DOID:0050847	sleep apnea	ECO:0000270	IEP	expression pattern evidence used in manual assertion												RGD	https://rgd.mcw.edu/rgdweb/ontology/annot.html?species=Human&x=1&acc_id=DOID:0050847#annot	PMID:19913847	2012-01-27T19:30:42Z
NCBITaxon:9606	Homo sapiens	HGNC:285	ADRB1			is_implicated_in	HGNC:285	ADRB1	gene	is_implicated_in	susceptibility to	DOID:0050848	obstructive sleep apnea	ECO:0007191	IAGP	inference by association of genotype from phenotype used in manual assertion								Note: associated with Hypertension;DNA:polymorphism: :p.R389G (human)				RGD	https://rgd.mcw.edu/rgdweb/ontology/annot.html?species=Human&x=1&acc_id=DOID:0050848#annot	PMID:20948559	2010-10-25T05:00Z
NCBITaxon:9606	Homo sapiens	HGNC:7106	ATXN3			is_implicated_in	MGI:3767400	Tg(HCRT-MJD)1Stak/?  [background:] involves: C57BL/6 * DBA/1	genotype	is_model_of		DOID:8986	narcolepsy	ECO:0000033	TAS	author statement supported by traceable reference									manually_curated			MGI	http://www.informatics.jax.org/allele/genoview/MGI:3767400	PMID:11394998	2017-07-06T15:05:05Z
NCBITaxon:9606	Homo sapiens	HGNC:1033	BDNF			is_implicated_in	HGNC:1033	BDNF	gene	is_implicated_in		DOID:0050848	obstructive sleep apnea	ECO:0000314	IDA	direct assay evidence used in manual assertion												RGD	https://rgd.mcw.edu/rgdweb/ontology/annot.html?species=Human&x=1&acc_id=DOID:0050848#annot	PMID:16061712	2011-01-05T06:00Z
NCBITaxon:9606	Homo sapiens	HGNC:10618	CCL2			is_marker_for	HGNC:10618	CCL2	gene	is_marker_for		DOID:0050848	obstructive sleep apnea	ECO:0000270	IEP	expression pattern evidence used in manual assertion								Note: protein:increased expression:plasma				RGD	https://rgd.mcw.edu/rgdweb/ontology/annot.html?species=Human&x=1&acc_id=DOID:0050848#annot	PMID:20855682	2011-01-13T06:00Z
NCBITaxon:9606	Homo sapiens	HGNC:10632	CCL5			is_marker_for	HGNC:10632	CCL5	gene	is_marker_for	severity of	DOID:0050848	obstructive sleep apnea	ECO:0000270	IEP	expression pattern evidence used in manual assertion								Note: mRNA:increased expression:faucial pillar, muscle (human)				RGD	https://rgd.mcw.edu/rgdweb/ontology/annot.html?species=Human&x=1&acc_id=DOID:0050848#annot	PMID:20847078	2011-01-20T06:00Z
NCBITaxon:9606	Homo sapiens	HGNC:11935	CD40LG			is_marker_for	HGNC:11935	CD40LG	gene	is_marker_for		DOID:8986	narcolepsy	ECO:0000270	IEP	expression pattern evidence used in manual assertion								Note: protein:decreased expression:serum (human)				RGD	https://rgd.mcw.edu/rgdweb/ontology/annot.html?species=Human&x=1&acc_id=DOID:8986#annot	PMID:21669245	2016-07-12T20:28:02Z
